tconst,primaryTitle,startYear
tt0081502,Shi ying xiong chong ying xiong,1980
tt0081503,Shiki Natsuko,1980
tt0081504,...And the Band Played On,1980
tt0081505,The Shining,1980
tt0081506,Shogun Assassin,1980
tt0081507,Shou zhi ao chu,1981
tt0081512,The Medal,1980
tt0081518,Simon,1980
tt0081520,Sir Henry at Rawlinson End,1980
tt0081521,Sista varningen!,1980
tt0081531,"Snadji se, druze",1981
tt0081534,Somewhere in Time,1980
tt0081535,Sonata for a Red-Haired Girl,1981
tt0081536,I'm Photogenic,1980
tt0081541,The Under-Gifted,1980
tt0081542,As Far as the Eye Sees,1980
tt0081544,Spasatel,1980
tt0081546,Poseban tretman,1980
tt0081547,Spetters,1980
tt0081549,The Medusa Raft,1980
tt0081550,Spotkanie na Atlantyku,1980
tt0081554,Stardust Memories,1980
tt0081555,Stark System,1980
tt0081557,Staryy novyy god,1981
tt0081561,Stir,1980
tt0081562,Stir Crazy,1980
tt0081568,The Stunt Man,1980
tt0081573,Superman II,1980
tt0081574,Pájaros de ciudad,1981
tt0081575,Supertanker,1980
tt0081577,Their Golden Years,1980
tt0081586,Swift Sword,1980
tt0081590,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980
tt0081594,Tac-tac,1982
tt0081598,Tango ptaka,1980
tt0081606,Taxi zum Klo,1980
tt0081607,Pursuit of Death,1980
tt0081609,Assassination Attempt,1981
tt0081610,Teletests,1980
tt0081611,Tell Me a Riddle,1980
tt0081616,La terrazza,1980
tt0081620,Theo Against the Rest of the World,1980
tt0081621,A Thin Line,1980
tt0081624,Thodisi Bewafaii,1980
tt0081625,"Those Lips, Those Eyes",1980
tt0081632,Legend of Tianyun Mountain,1980
tt0081633,Time Bandits,1981
tt0081635,Times Square,1980
tt0081636,Een tip van de sluier,1980
tt0081639,Everybody Calls Me 'The Cat',1980
tt0081641,The Terrible Couple,1980
tt0081642,The Master Strikes,1980
tt0081644,Totally Frozen,1981
tt0081646,Touched by Love,1980
tt0081648,Terra e...,1980
tt0081655,The Hit,1981
tt0081656,Tribute,1980
tt0081658,3 hommes à abattre,1980
tt0081659,Trollsommar,1980
tt0081662,Zigeunerweisen,1980
tt0081663,La tua vita per mio figlio,1980
tt0081664,Tuck Everlasting,1981
tt0081669,Two Toothless Tigers,1980
tt0081670,Ty dolzhen zhit,1981
tt0081672,"Täältä tullaan, elämä!",1980
tt0081674,UFOria,1985
tt0081678,A Bad Son,1980
tt0081679,Un étrange voyage,1981
tt0081680,Und nächstes Jahr am Balaton,1980
tt0081684,Une robe noire pour un tueur,1981
tt0081686,Une semaine de vacances,1980
tt0081687,Union City,1980
tt0081689,"Uno contro l'altro, praticamente amici",1981
tt0081690,Unser kurzes Leben,1981
tt0081692,Men or Not Men,1980
tt0081696,Urban Cowboy,1980
tt0081698,Used Cars,1980
tt0081701,The Liar,1981
tt0081703,Vecherniy labirint,1980
tt0081705,Vengeance,1980
tt0081711,Die Verlobte,1980
tt0081721,Vincent and Me,1990
tt0081725,Viva la clase media,1980
tt0081729,Le voyage en douce,1980
tt0081730,"Run, Waiter, Run!",1981
tt0081731,Vtorzheniye,1981
tt0081734,Vînatoarea de vulpi,1980
tt0081738,The Watcher in the Woods,1980
tt0081743,Drumul oaselor,1980
tt0081748,Where the Buffalo Roam,1980
tt0081753,Why Would I Lie?,1980
tt0081758,Willie & Phil,1980
tt0081760,Windwalker,1980
tt0081765,Whitey,1980
tt0081766,The Wizard of Speed and Time,1988
tt0081767,Wizja lokalna 1901,1980
tt0081773,Wsciekly,1980
tt0081775,Wyrok smierci,1980
tt0081778,Hard Boiled Killers,1980
tt0081779,Ode to Gallantry,1982
tt0081782,Hex,1980
tt0081784,The Happenings,1980
tt0081786,Yesli by ya byl nachalnikom,1980
tt0081789,Xia gu ying xiong zhuan,1980
tt0081792,Yong zheng yu nian geng yao,1980
tt0081796,Borrowing Matchsticks,1980
tt0081797,Behind the Sloe-Bush,1981
tt0081799,Zamach stanu,1980
tt0081803,The Spooky Bunch,1980
tt0081805,Zielone lata,1980
tt0081806,Zhong shen da shi,1981
tt0081809,ffolkes,1980
tt0081812,Tú estás loco Briones,1981
tt0081816,"Ça peut pas être l'hiver, on n'a même pas eu d'été",1980
tt0081820,Opera Prima,1980
tt0081821,Örökség,1980
tt0081824,Úteky domu,1980
tt0081881,Chie the Brat,1981
